Timestamp,Value,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Class
152212.2222,1.816,13.24521896,,16.36751598,0.029326343,1.278423381,2.748136517,-1.331457025,0.065878874,-0.104517511,-0.037517261,-250,-0.47563277,0
159074.4444,163.568,4.401402651,0.084682323,-313,0.001887542,-0.103762144,1.115678381,,0.062966033,0.130545982,-0.303582497,,,0
43127.77778,24,-9.067399008,0.76250141,,0.052480647,-0.101681228,-88,0.117912472,,0.358811618,-0.367016009,,361,0
156042.2222,8,8.728303821,-0.382673438,,-0.116055627,-0.122345716,-44,-338,0.042153887,-0.261258815,-0.103974088,,-1.65437303,0
154720,59.496,7.657141017,0.150611449,,-0.034883005,0.826099816,0.357556054,0.147639537,,0.080490578,-0.693791924,-0.308631041,0.563569975,0
37515.55556,7.192,-6.94469954,-0.13638771,0.543171932,-0.024708279,0.11211625,1.647884276,-0.003728685,0.039702364,0.097664252,-0.341835815,-274,-0.056484138,0
34078.88889,10.32,133,-0.54017728,8.803811771,-0.007306548,-67,1.709943743,-0.316350773,-0.003740844,0.187718171,,0.338620962,0.227838853,0
58923.33333,1.584,-0.6702644,-0.16462602,-8.848896755,0.002277997,0.078980785,1.143923488,-472,0.010554651,0.065274778,0.029734518,-0.39626111,-0.182626008,0
166341.1111,100,1.984216404,0.416603634,-178,-0.00364094,53,,0.109451024,0.022315534,-0.039217167,0.438852892,-0.184313113,0.64327263,0
175154.4444,0.712,5.857276053,-0.073466049,0.667938398,-0.000891146,-0.012069316,1.427191455,-101,-0.038323932,0.014183393,-0.109038924,0.4209461,-61,0
165497.7778,14.832,-4.148293647,-0.163314899,4.144530628,-0.004959567,0.101749973,-0.028755983,0.127051691,2,0.449741367,-0.517510936,-0.533390089,,0
167671.1111,227.96,16.17592235,,-6.694057713,0.034631891,0.434390836,-102,0.751834859,-0.11327679,-0.016748644,0.843693889,-185,0.131971285,0
130600,17.6,-4.541007891,0.608651109,-23.60284803,0.000314259,-0.072572963,0.395885355,-457,0.028885197,-0.019748893,0.359491234,0.428940157,0.235071922,0
83824.44444,12,-74,,9.269922169,0.054964379,-0.063202401,1.047406124,0.110396665,0.037102193,-0.301419201,-0.379203167,0.097429485,0.617515779,0
68901.11111,9.296,-4.282784098,-0.233524095,7.233436235,-0.002592806,0.338016319,,0.069868901,-0.037235171,-0.028411717,-0.088175367,30,-203,0
187131.1111,0.8,-14,-0.004560122,-0.670584383,-0.006384755,-0.005627701,0.337232502,0.075932575,-0.027308228,-0.182249553,-0.265528396,0.391620135,-155,0
186026.6667,42.688,6.943731148,0.160107565,13.41136187,0.025804372,0.18321499,81,0.607733285,-0.049916973,-0.153508895,0.181894821,-0.144857529,1.416581591,0
35273.33333,186.72,854,0.109293127,0.669391576,-0.029915446,-0.39686997,-5.64514429,-0.249681111,0.041601631,0.030446772,-1.095914598,0.002422426,-1.876724236,0
181758.8889,9.848,,-0.094190782,-90,-0.016030221,-0.074933407,,0.094782863,-0.013751674,0.048658617,-0.816983579,-389,-1344,0
31956.66667,0.608,-123,0.092678568,-11.3889033,-0.00190646,0.08683535,-147,-0.023231395,0.047834876,0.02765613,-0.876370946,-0.27273458,,0
54110,6.088,-476,,-11.48131856,0.000726547,0.380376383,-1.147796022,-1898,-0.013590101,-0.181623439,0.965733922,-0.332875368,-0.422535011,0
167408.8889,0.792,-1.501264512,0.156943385,2.017297959,0.00357803,0.238675778,1.466089863,-0.01074448,,-0.197747776,-0.061521385,-0.208561531,-0.207432046,0
88904.44444,1.032,-2.370353402,-0.121636789,-2.999716237,0.007221164,,0.255691164,0.058979084,-0.025543574,-0.046057657,-0.012139906,-0.217096665,-0.164667842,0
34064.44444,47.2,-0.673153229,-0.320223769,6.159622733,0.029957628,,1.019805619,-7,-0.037929663,0.190163639,-0.373689226,0.017386438,0.541835539,0
184003.3333,0.8,-9.867922468,0.107085869,3.119013697,-0.027281721,0.209826001,0.317424761,-0.080073643,0.000563947,0.226330718,-148,-0.150672966,,0
156027.7778,103.2,-367,0.227710056,-21.06727475,-0.029179973,-0.390736035,0.339176276,-0.071897688,0.001602505,0.225928944,0.36888315,0.392902124,,0
48074.44444,5.592,-158,-0.000252632,9.677495285,-0.009612691,0.2191704,-0.593291488,0.034410585,,0.094158011,-0.053266097,0.11239723,-0.544982692,0
104341.1111,3.504,-0.653275952,-0.310299568,17.35123527,-0.022500258,,1.004960443,0.016157621,-0.112164864,-0.175424517,0.136192596,-427,0.626721679,0
75777.77778,4.76,-30,0.411654483,-14.99010896,0.001392585,0.146759011,2.390536442,0.024413422,-0.011580713,0.020684621,-0.84211544,-0.152885173,1.048164007,0
132626.6667,42.816,2.198165023,,,-0.029861455,0.395878613,,0.026962432,-0.037960776,-0.046023518,0.048534732,0.27907864,0.588081274,0
109388.8889,14.72,1.572616885,0.206275686,-7.518193855,0.041690903,0.275594057,1.468446791,,-0.02189646,-0.485972472,0.735155387,0.309588144,0.504235743,0
183822.2222,2.064,,0.183775147,-332,-0.004035708,0.206533898,1.001326714,0.031681338,,0.097552109,-0.001280753,-0.188242919,,0
167412.2222,9.2,1.802533166,-0.092195276,-3.731042365,0.01118958,-0.097761259,40,0.037055693,0.030405393,-0.338620608,-0.667758558,-6,-0.831882959,0
47444.44444,9.84,-4.235395457,-0.668587823,-4.692924024,0.054668193,0.169833228,14,0.044857024,-0.003394629,-0.293120467,-0.375263764,-0.215674389,0.403730418,0
53724.44444,32,0.377123828,0.370461165,9.521047899,-0.002910531,-0.229876001,1.46941804,0.132195014,-0.005200498,-0.15356169,-0.523809832,0.034129939,489,0
2695.555556,0.8,171,0.62440171,1.2434879,-0.019629881,0.144293162,0.955008713,0.005490741,-0.025951527,0.299991255,0.502231468,,,0
180392.2222,182,6.718005852,-0.348162706,17.57244133,0.010536749,-0.289725651,-2.82386291,-176,-0.013064536,0.279224323,0.952689281,,1.166239328,0
41437.77778,41.52,-5.527074463,0.161186546,,0.040969942,-0.225505379,0.326058735,0.148966123,0.03223783,-0.316752088,-0.09758152,0.009857746,-1.737209265,0
1080,126.4,0.795002485,-0.045636983,-6.77336288,-0.035342544,,-126,-0.123415895,-0.01467733,0.02953779,0.758471526,-0.336881002,-0.745885351,0
74748.88889,32.552,,0.096659075,6.843420372,0.025971496,0.034530949,-0.53246189,0.040135915,62,0.383651328,0.286036069,-0.102468207,74,0
50157.77778,0.8,,-0.296413873,-10.31042338,0.01050383,,0.906869407,0.014411042,0.069373079,-0.195442247,0.51916167,-0.070862334,-1110,0
129083.3333,32.368,5.273848575,-0.287511487,7.206656025,-0.029087511,0.326059039,0.49006844,-0.008316337,0.043707983,0.064988172,-0.566472383,0.328632136,0.910454383,0
45376.66667,7.992,1.458012393,-0.044171208,-5.86283069,-0.006215237,-0.078621771,-136,0.004956222,0.011901153,0.005403239,84,-0.117185308,0.605750937,0
